Wall time,Step,Value
1652129543.0760934,1,26.736400604248047
1652129816.9174902,584,2.141900062561035
1652130124.9177022,1168,0.48350000381469727
1652130422.4240427,1752,0.4334999918937683
1652130716.9455485,2336,0.4009999930858612
1652131008.833837,2920,0.37790000438690186
1652131296.3922272,3504,0.35920000076293945
1652131585.3735912,4088,0.3450999855995178
1652131873.1904685,4672,0.3361000120639801
1652132158.8891878,5256,0.3278000056743622
1652132447.1509774,5840,0.32359999418258667
