Wall time,Step,Value
1652217934.935816,1,25.613500595092773
1652218920.3414478,2064,1.0607000589370728
1652219941.8467793,4128,0.5343999862670898
1652220947.6338475,6192,0.4860999882221222
1652221954.2164948,8256,0.4535999894142151
1652222964.260179,10320,0.4278999865055084
1652223966.2766023,12384,0.4059999883174896
1652224967.6366827,14448,0.3871000111103058
1652225972.2675955,16512,0.3698999881744385
1652226977.2712367,18576,0.3547999858856201
1652227983.9806576,20640,0.3409999907016754
1652228987.2891483,22704,0.32739999890327454
1652229998.280819,24768,0.3149999976158142
1652231004.9911115,26832,0.30329999327659607
1652232014.2776515,28896,0.29249998927116394
1652233020.6446366,30960,0.28200000524520874
1652234022.896597,33024,0.27230000495910645
1652235031.8963473,35088,0.26269999146461487
1652236036.6551952,37152,0.2538999915122986
1652237040.6470165,39216,0.24549999833106995
1652238049.8538036,41280,0.23749999701976776
1652239052.9820695,43344,0.23000000417232513
1652240061.0475605,45408,0.22290000319480896
1652241065.2750459,47472,0.21549999713897705
1652242081.3010314,49536,0.20900000631809235
1652243090.8964233,51600,0.2029999941587448
1652244100.6413279,53664,0.19709999859333038
1652245105.1718397,55728,0.1914999932050705
1652246112.2712643,57792,0.18629999458789825
1652247117.642228,59856,0.18170000612735748
1652248125.9888523,61920,0.17710000276565552
1652249132.2576735,63984,0.17270000278949738
1652250142.851582,66048,0.1688999980688095
1652251147.8919485,68112,0.164900004863739
1652252150.362379,70176,0.16169999539852142
1652253164.2758334,72240,0.15860000252723694
1652254170.9840245,74304,0.15559999644756317
1652255175.8983004,76368,0.15309999883174896
1652256189.016621,78432,0.15070000290870667
1652257209.9972687,80496,0.14869999885559082
1652258215.9132948,82560,0.14710000157356262
1652259225.6461482,84624,0.14579999446868896
1652260233.3699992,86688,0.14470000565052032
1652261238.9001346,88752,0.14390000700950623
